"Raw Data File","tracer molecule","labelled positions","Abundance [%]",Injection,Replicate,"Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,78086,m1,
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,52192,m2,
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,9995,m3,
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,9570,m4,
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,850,m5,
RibHyp2_02.CDF,Glucose,"1,1,0,0,0,0",48,2,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,109,,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-189,,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,384629,m0,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,69793,m1,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,46453,m2,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,8046,m3,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,8320,m4,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,637,m5,
RibHyp2_03.CDF,Glucose,"1,1,0,0,0,0",48,3,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,55,,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-209,,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,139575,m0,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,24962,m1,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,16636,m2,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,2994,m3,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,2961,m4,
RibHyp3_01.CDF,Glucose,"1,1,0,0,0,0",48,1,3,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,206,m5,
